Frame,Pixel Count
GMG,2358
KNN,8296
CNT,7239
MOG,3959
MOG2,8494
GMG,2316
KNN,8358
CNT,7293
MOG,4011
MOG2,8478
GMG,1947
KNN,8343
CNT,7325
MOG,4013
MOG2,8490
GMG,1752
KNN,8345
CNT,7342
MOG,4053
MOG2,8473
GMG,1669
KNN,8319
CNT,7362
MOG,4080
MOG2,8371
GMG,2363
KNN,8184
CNT,7211
MOG,4067
MOG2,8345
GMG,2443
KNN,8131
CNT,7170
MOG,4139
MOG2,8498
GMG,2867
KNN,8353
CNT,7284
MOG,4107
MOG2,8408
GMG,2326
KNN,8286
CNT,7176
MOG,4125
MOG2,8308
GMG,2212
KNN,8203
CNT,7174
MOG,4219
MOG2,8299
GMG,2694
KNN,8151
CNT,7118
MOG,4246
MOG2,8324
GMG,2367
KNN,8185
CNT,7139
MOG,4233
MOG2,8296
GMG,2112
KNN,8157
CNT,7111
MOG,4171
MOG2,8169
GMG,1718
KNN,8053
CNT,7038
MOG,4173
MOG2,8108
GMG,1656
KNN,8038
CNT,7031
MOG,4214
MOG2,8013
GMG,2486
KNN,7977
CNT,7030
MOG,4218
MOG2,8003
GMG,2402
KNN,7961
CNT,7017
MOG,4251
MOG2,7985
GMG,2247
KNN,8033
CNT,7044
MOG,4207
MOG2,7885
GMG,1889
KNN,8026
CNT,7024
MOG,4193
MOG2,7775
GMG,1706
KNN,7931
CNT,6967
MOG,4242
MOG2,7797
GMG,2343
KNN,7905
CNT,6928
MOG,4215
MOG2,7749
GMG,2133
KNN,7893
CNT,6927
MOG,4171
MOG2,7744
GMG,1894
KNN,7927
CNT,6911
MOG,4188
MOG2,7758
GMG,1621
KNN,7922
CNT,6943
MOG,4185
MOG2,7736
GMG,1476
KNN,7928
CNT,6941
MOG,4210
MOG2,7821
GMG,2156
KNN,7936
CNT,6926
MOG,4146
MOG2,7883
GMG,2066
KNN,7928
CNT,6851
MOG,4151
MOG2,7974
GMG,1892
KNN,7955
CNT,6863
MOG,4176
MOG2,8003
GMG,1630
KNN,7960
CNT,6892
MOG,4245
MOG2,8103
GMG,1723
KNN,8019
CNT,6925
MOG,4295
MOG2,8371
GMG,2352
KNN,8126
CNT,7060
MOG,4340
MOG2,8475
GMG,2439
KNN,8155
CNT,7055
MOG,4344
MOG2,8721
GMG,2416
KNN,8404
CNT,7201
MOG,4339
MOG2,8660
GMG,1889
KNN,8373
CNT,7208
MOG,4341
MOG2,8736
GMG,1784
KNN,8438
CNT,7211
MOG,4408
MOG2,8824
GMG,2392
KNN,8477
CNT,7258
MOG,4427
MOG2,8935
GMG,2282
KNN,8577
CNT,7327
MOG,4433
MOG2,8912
GMG,1980
KNN,8570
CNT,7341
MOG,4452
MOG2,8888
GMG,1649
KNN,8526
CNT,7369
MOG,4417
MOG2,8860
GMG,1514
KNN,8567
CNT,7385
MOG,4486
MOG2,8896
GMG,2406
KNN,8584
CNT,7464
MOG,4463
MOG2,8855
GMG,2224
KNN,8583
CNT,7483
MOG,4443
MOG2,8831
GMG,1993
KNN,8598
CNT,7474
MOG,4501
MOG2,8872
GMG,1695
